scenario,t,bid,cumulative_cost,remaining_budget
generous,1,0.0,0.0,1600.0
generous,51,0.7000000000000001,2.9000000000000004,1597.1000000000001
generous,101,0.5,8.5,1591.5000000000002
generous,151,0.4,14.600000000000001,1585.4000000000003
generous,201,0.1,18.5,1581.5000000000007
generous,251,0.4,21.5,1578.5000000000007
generous,301,0.30000000000000004,24.000000000000004,1576.0000000000007
generous,351,0.1,30.1,1569.900000000001
generous,401,0.1,35.1,1564.900000000001
generous,451,0.30000000000000004,38.60000000000001,1561.4000000000012
generous,501,0.4,43.7,1556.3000000000013
generous,551,0.7000000000000001,45.2,1554.8000000000013
generous,601,0.5,51.2,1548.8000000000015
generous,651,0.1,55.30000000000001,1544.7000000000019
generous,701,0.30000000000000004,59.60000000000001,1540.4000000000021
generous,751,0.8,63.2,1536.8000000000022
generous,801,0.2,67.4,1532.6000000000022
generous,851,0.7000000000000001,73.9,1526.1000000000022
generous,901,0.4,80.70000000000002,1519.3000000000022
generous,951,0.4,83.60000000000001,1516.4000000000021
generous,1001,0.5,88.5,1511.500000000002
generous,1051,0.5,95.60000000000001,1504.4000000000021
generous,1101,0.2,99.30000000000001,1500.7000000000023
generous,1151,0.6000000000000001,106.0,1494.0000000000025
generous,1201,0.5,112.10000000000001,1487.9000000000026
generous,1251,0.5,115.5,1484.5000000000025
generous,1301,0.8,122.60000000000002,1477.4000000000028
generous,1351,0.7000000000000001,129.60000000000002,1470.4000000000026
generous,1401,0.7000000000000001,134.70000000000002,1465.300000000003
generous,1451,0.6000000000000001,139.3,1460.7000000000035
generous,1501,0.2,144.20000000000002,1455.8000000000034
generous,1551,0.2,149.40000000000003,1450.6000000000033
generous,1601,0.5,154.8,1445.2000000000035
generous,1651,0.5,163.0,1437.0000000000036
generous,1701,0.0,168.0,1432.0000000000036
generous,1751,0.30000000000000004,171.8,1428.2000000000037
generous,1801,0.4,174.9,1425.1000000000038
generous,1851,0.30000000000000004,178.30000000000004,1421.700000000004
generous,1901,0.6000000000000001,187.40000000000003,1412.600000000004
generous,1951,0.30000000000000004,191.40000000000003,1408.600000000004
generous,2001,0.6000000000000001,195.7,1404.300000000004
generous,2051,0.5,200.8,1399.2000000000041
generous,2101,0.30000000000000004,207.3,1392.7000000000044
generous,2151,0.30000000000000004,211.3,1388.7000000000041
generous,2201,0.6000000000000001,217.3,1382.7000000000041
