setting,hedge_eta,ogd_eta,budget_pacing,n_trials,final_regret_piecewise,final_regret_opt_a,final_regret_prophet,final_cost,remaining_budget,final_lambda
Req4 tuned,0.160000,0.003000,True,20,1426.101700,626.753701,2699.694167,1456.365000,143.635000,1.017548
Req3 eta default hedge,0.015174,0.017000,True,20,1777.396700,978.048701,3050.989167,1193.920000,406.080000,0.575080
